Date,Open,High,Low,Close,Adj Close,Volume
2010-11-03,71560.000000,72110.000000,71510.000000,71905.000000,71905.000000,2145800
2010-11-04,71910.000000,73103.000000,71910.000000,72996.000000,72996.000000,2175800
2010-11-05,72987.000000,72987.000000,72534.000000,72607.000000,72607.000000,1732000
2010-11-08,72607.000000,72875.000000,72336.000000,72657.000000,72657.000000,1077600
2010-11-09,72654.000000,73045.000000,71651.000000,71679.000000,71679.000000,1505000
2010-11-10,71674.000000,71854.000000,70868.000000,71638.000000,71638.000000,0
2010-11-11,71639.000000,71639.000000,70941.000000,71195.000000,71195.000000,1353200
2010-11-12,71191.000000,71191.000000,70004.000000,70367.000000,70367.000000,1188600
2010-11-16,70364.000000,70364.000000,68662.000000,69192.000000,69192.000000,2240800
2010-11-17,69189.000000,70080.000000,69187.000000,69709.000000,69709.000000,0
2010-11-18,69716.000000,70904.000000,69716.000000,70781.000000,70781.000000,1881600
2010-11-19,70774.000000,70898.000000,70236.000000,70898.000000,70898.000000,1506400
2010-11-22,70898.000000,70898.000000,69202.000000,69633.000000,69633.000000,1739200
2010-11-23,69629.000000,69629.000000,67728.000000,67953.000000,67953.000000,2080600
2010-11-24,67955.000000,69746.000000,67955.000000,69629.000000,69629.000000,1990600
2010-11-25,69634.000000,69780.000000,69362.000000,69362.000000,69362.000000,981600
2010-11-26,69349.000000,69349.000000,68219.000000,68226.000000,68226.000000,1564800
2010-11-29,68218.000000,68422.000000,67103.000000,67908.000000,67908.000000,1777800
2010-11-30,67901.000000,68476.000000,67271.000000,67705.000000,67705.000000,2159200
2010-12-01,67731.000000,69605.000000,67731.000000,69346.000000,69346.000000,0
2010-12-02,69341.000000,69943.000000,69219.000000,69527.000000,69527.000000,2111800
2010-12-03,69529.000000,69963.000000,68943.000000,69766.000000,69766.000000,2828000
2010-12-06,69759.000000,69932.000000,69378.000000,69552.000000,69552.000000,0
2010-12-07,69563.000000,70589.000000,69338.000000,69338.000000,69338.000000,0
2010-12-08,69338.000000,69354.000000,68046.000000,68175.000000,68175.000000,2671600
2010-12-09,68173.000000,68561.000000,67563.000000,67879.000000,67879.000000,2447200
2010-12-10,67889.000000,68514.000000,67866.000000,68342.000000,68342.000000,0
2010-12-13,68342.000000,69221.000000,68342.000000,69126.000000,69126.000000,0
2010-12-14,69127.000000,69127.000000,68531.000000,68743.000000,68743.000000,0
2010-12-15,68741.000000,68741.000000,67711.000000,67870.000000,67870.000000,2962400
